Number,station,location,latitude,longitude,owner,Price_U91,Price_P98
593,"189-191 Belmore Rd, RIVERWOOD NSW 2210","Belmore Road, Riverwood, Sydney, Georges River Council, St George, New South Wales, 2210, Australia",-33.9513697,151.0526419,BP,Not Selling U91    ,Not Selling P98
594,"183 The Horsley Drive, FAIRFIELD EAST NSW 2165","The Horsley Drive, Fairfield East, Sydney, Fairfield City Council, New South Wales, 2165, Australia",-33.8712572,150.9625667,BP,128.9,Not Selling P98
596,"257 Guildford Rd, GUILDFORD NSW 2161","Guildford Road, Guildford, Sydney, Cumberland City Council, New South Wales, 2161, Australia",-33.8548607,150.9904339,BP,Not Selling U91    ,152.5
602,"7-9 Northwood Road, Northwood NSW 2066","Northwood Road, Northwood, Sydney, Lane Cove Municipal Council, Lower North Shore, New South Wales, 2066, Australia",-33.8256015,151.1747441,BP,Not Selling U91    ,172.9
609,"45 Hambledon Road, Quakers Hill NSW 2763","Hambledon Road, Quakers Hill, Sydney, Blacktown City Council, New South Wales, 2763, Australia",-33.7216604,150.8917572,BP,132.9,155.9
612,"210, Pacific Highway, Charmhaven NSW 2263","Pacific Highway, Charmhaven, Central Coast Council, New South Wales, 2263, Australia",-33.2379227,151.4998387,BP,158.9,176.9
647,"464-468 Armidale Rd, NEMINGHA NSW 2340","Armidale Road, Nemingha, Tamworth, Tamworth Regional Council, New South Wales, 2340, Australia",-31.1170262,150.9641437,BP,138.9,159.9
650,"33-37 Carrington Rd, RANDWICK NSW 2031","Carrington Road, Randwick, Sydney, Randwick City Council, Eastern Suburbs, New South Wales, 2031, Australia",-33.9066819,151.2522286,BP,141.9,164.9
651,"8-10 Perouse Road, RANDWICK NSW 2031","Perouse Road, Randwick, Sydney, Randwick City Council, Eastern Suburbs, New South Wales, 2031, Australia",-33.918205,151.2422034,BP,141.9,164.9
664,"599 Old South Head Rd, Rose Bay NSW 2029","BP, 599, Old South Head Road, Rose Bay, Sydney, Woollahra Municipal Council, Eastern Suburbs, New South Wales, 2029, Australia",-33.8692422,151.277367,BP,Not Selling U91    ,168.9
670,"67 New South Head Rd, EDGECLIFF NSW 2027","New South Head Road, Edgecliff, Sydney, Woollahra Municipal Council, Eastern Suburbs, New South Wales, 2027, Australia",-33.8787395,151.2361935,BP,158.9,181.9
671,"127 Loftus Ave, Loftus NSW 2232","Loftus Avenue, Loftus, Sydney, Sutherland Shire Council, New South Wales, 2232, Australia",-34.0389336,151.0516477,BP,147.9,Not Selling P98
673,"184 Liverpool Road, Enfield NSW 2136","Liverpool Road, Enfield, Sydney, Strathfield Municipal Council, Burwood Council, New South Wales, 2136, Australia",-33.8876373,151.0915286,BP,Not Selling U91    ,157.9
682,"582 Old Northern Road, Dural NSW 2158","582, Old Northern Road, Dural, Sydney, The Hills Shire Council, Hills District, New South Wales, 2158, Australia",-33.6952428,151.0296585,BP,Not Selling U91    ,174.9
685,"271 Camden Valley Way, NARELLAN NSW 2567","BP, 271-273, Camden Valley Way, Narellan, Sydney, Camden Council, New South Wales, 2567, Australia",-34.04166865,150.7308152,BP,136.9,156.9
703,"422 Pacific Hwy, Artarmon NSW 2064","Pacific Highway, Gore Hill, Artarmon, Sydney, Willoughby City Council, Lower North Shore, New South Wales, 2064, Australia",-33.8078947,151.1791907,BP,Not Selling U91    ,172.9
708,"461 Hume Hwy, Casula NSW 2170","Hume Highway, Casula, Sydney, Liverpool City Council, New South Wales, 2170, Australia",-33.9563636,150.8920968,BP,133.9,158.9
729,"244 Hawkesbury Valley Way, CLARENDON NSW 2756","Hawkesbury Valley Way, Clarendon, Sydney, Hawkesbury City Council, New South Wales, 2756, Australia",-33.6091908,150.8031499,BP,139.4,157.4
744,"115-119 Hume Hwy, Lansvale NSW 2166","Hume Highway, Lansvale, Sydney, Fairfield City Council, New South Wales, 2166, Australia",-33.8998346,150.946278,BP,Not Selling U91    ,151.9
747,"45 Yanko Road, West Pymble NSW 2073","45, Yanko Road, West Pymble, Sydney, Ku-ring-gai Council, Upper North Shore, New South Wales, 2073, Australia",-33.762082,151.128511,BP,Not Selling U91    ,165.9
752,"438 Crown St, West Wollongong NSW 2500","Crown Street, West Wollongong, Wollongong City Council, New South Wales, 2500, Australia",-34.4259205,150.8758254,BP,149.9,Not Selling P98
757,"846 THE HORSLEY DRIVE, SMITHFIELD NSW 2164","BP gas station, 846, The Horsley Drive, Smithfield, Sydney, Fairfield City Council, New South Wales, 2164, Australia",-33.8514202,150.9256063,BP,Not Selling U91    ,157.9
759,"3 Bells Line Of Road, NORTH RICHMOND NSW 2754","Bells Line of Road, North Richmond, Sydney, Hawkesbury City Council, New South Wales, 2754, Australia",-33.5718933,150.7102082,BP,138.9,162.9
761,"615-617 Hume Hwy, CASULA NSW 2170","Hume Highway, Casula, Sydney, Liverpool City Council, New South Wales, 2170, Australia",-33.9563636,150.8920968,BP,134.9,157.9
771,"132 Allambie road, Allambie Heights NSW 2100","Allambie Road, Allambie, Allambie Heights, Sydney, Northern Beaches Council, Northern Beaches, New South Wales, 2100, Australia",-33.7749732,151.2615233,BP,Not Selling U91    ,174.8
772,"213 Kissing Point Rd, Turramurra NSW 2074","213, Kissing Point Road, South Turramurra, Sydney, Ku-ring-gai Council, Upper North Shore, New South Wales, 2074, Australia",-33.748505,151.111943,BP,Not Selling U91    ,161.9
814,"369 North Rocks Rd, North Rocks NSW 2151","North Rocks Road, North Parramatta, Sydney, City of Parramatta Council, New South Wales, 2151, Australia",-33.792656,151.0006642,BP,Not Selling U91    ,Not Selling P98
827,"70 Clifford Street, Goulburn NSW 2580","Clifford Street, Ifield, Goulburn, Goulburn Mulwaree Council, New South Wales, 2580, Australia",-34.7469896,149.7096174,BP,136.9,157.9
833,"Henry Lawson Drive, Bankstown NSW 2200","Henry Lawson Drive, Peakhurst, Sydney, Georges River Council, St George, New South Wales, 2210, Australia",-33.9634044,151.0413911,BP,133.9,156.9
834,"505 Campbelltown Road, Denham Court NSW 2565","Campbelltown Road, Denham Court, Sydney, Campbelltown City Council, New South Wales, 2565, Australia",-33.9927767,150.8448576,BP,Not Selling U91    ,Not Selling P98
838,"154-156 Prospect Hwy, Seven Hills NSW 2147","Prospect Highway, Seven Hills, Sydney, Blacktown City Council, New South Wales, 2147, Australia",-33.7709352,150.9388942,BP,136.9,158.9
840,"196 Riverstone Pde, RIVERSTONE NSW 2765","Riverstone Parade, Riverstone, Sydney, Blacktown City Council, New South Wales, 2765, Australia",-33.675608,150.8589924,BP,132.9,155.9
843,"80 Heathcote Road, Moorebank NSW 2170","Heathcote Road, Moorebank, Sydney, Liverpool City Council, New South Wales, 2170, Australia",-33.9291284,150.9312018,BP,Not Selling U91    ,157.9
846,"126-130 Mulgoa Road, Penrith NSW 2750","Mulgoa Road, Penrith, Sydney, Penrith City Council, New South Wales, 2750, Australia",-33.7510855,150.6876306,BP,132.9,155.9
865,"5 Glenwood Drive, THORNTON NSW 2322","Glenwood Drive, Thornton, Maitland City Council, New South Wales, 2322, Australia",-32.7921239,151.637209,BP,159.9,177.9
877,"Abbott Road, Seven Hills NSW 2147","Abbott Road, Seven Hills, Sydney, Blacktown City Council, New South Wales, 2147, Australia",-33.7679303,150.943623,BP,138.9,161.9
892,"632 Warringah Road, Forestville NSW 2087","Warringah Road, Forestville, Sydney, Northern Beaches Council, Northern Beaches, New South Wales, 2087, Australia",-33.7609212,151.2161153,BP,Not Selling U91    ,176.9
897,"225 Saunders Rd, Oakville NSW 2765","Saunders Road, Oakville, Sydney, Hawkesbury City Council, New South Wales, 2765, Australia",-33.6091519,150.8584763,BP,Not Selling U91    ,Not Selling P98
901,"56 Tudor Street, HAMILTON NSW 2303","Tudor Street, Hamilton, Newcastle, Newcastle City Council, New South Wales, 2303, Australia",-32.9239154,151.7462904,BP,159.9,182.9
902,"113 PARRY ST, NEWCASTLE WEST NSW 2302","Parry Street, Dairy Farmer's Corner, Newcastle West, Newcastle, Newcastle City Council, New South Wales, 2302, Australia",-32.9241358,151.7542005,BP,159.9,182.9
903,"103- Newcastle Road, Wallsend NSW 2287","Newcastle Road, Heaton, Wallsend, Newcastle, Newcastle City Council, New South Wales, 2287, Australia",-32.9046127,151.6881374,BP,159.9,182.9
905,"1579 BOTANY RD, BOTANY NSW 2019","Botany Road, Botany, Sydney, Bayside Council, New South Wales, 2019, Australia",-33.9528763,151.2011556,BP,141.9,159.9
913,"687 Drome St, EAST ALBURY NSW 2640","Drome Street, East Albury, Albury, Albury City Council, New South Wales, 2640, Australia",-36.0757307,146.9474941,BP,135.9,Not Selling P98
914,"6 Diamond Drive, THURGOONA NSW 2640","Diamond Drive, Thurgoona, Albury, Albury City Council, New South Wales, 2640, Australia",-36.0437589,146.9961254,BP,135.9,Not Selling P98
930,"67 Stewart Ave, HAMILTON SOUTH NSW 2303","Stewart Avenue, Hamilton South, Newcastle, Newcastle City Council, New South Wales, 2303, Australia",-32.9314281,151.7535334,BP,159.9,182.9
945,"855 Macquarie Drive, Valentine NSW 2280","Macquarie Drive, Croudace Bay, Lake Macquarie City Council, New South Wales, 2280, Australia",-33.0065053,151.6431592,BP,154.9,179.9
950,"134 Seven Hills Rd, Baulkham Hills NSW 2153","Seven Hills Road, Baulkham Hills, Sydney, The Hills Shire Council, Hills District, New South Wales, 2153, Australia",-33.761702,150.9752695,BP,135.9,157.9
960,"7452 Newell Hwy, Beckom NSW 2665","Newell Highway, Beckom, Ardlethan, Coolamon Shire Council, New South Wales, 2665, Australia",-34.3349559,146.9323238,BP,Not Selling U91    ,Not Selling P98
963,"501-509 Bells Line Of Road, Kurmond NSW 2757","Bells Line of Road, Kurmond, Sydney, Hawkesbury City Council, New South Wales, 2757, Australia",-33.550896,150.6927582,BP,138.9,160.9
971,"Pacific Highway, Coolongolook NSW 2423","Pacific Highway, Wootton, Mid-Coast Council, New South Wales, 2423, Australia",-32.2736156,152.3285629,BP,135.9,Not Selling P98
972,"13 Midkin St, GARAH NSW 2405","Midkin Street, Garah, Moree Plains Shire Council, New South Wales, 2405, Australia",-29.076177,149.6350555,BP,137.9,Not Selling P98
995,"23 Pagan Street, JERRYS PLAINS NSW 2330","Pagan Street, Jerrys Plains, Singleton Council, New South Wales, 2330, Australia",-32.4944221,150.9074793,BP,136.9,Not Selling P98
996,"1 Dandaloo Street, Narromine NSW 2821","Dandaloo Street, Narromine, Narromine Shire Council, New South Wales, 2821, Australia",-32.227462,148.2404623,BP,Not Selling U91    ,Not Selling P98
1002,"505 Cowpasture Rd, LEN WATERS ESTATE NSW 2171","Cowpasture Road, Len Waters Estate, Sydney, Liverpool City Council, New South Wales, 2171, Australia",-33.9178974,150.8537897,BP,134.9,157.9
1005,"Lot 1 Cowpasture Road, HOXTON PARK NSW 2171","Cowpasture Road, Hoxton Park, Sydney, Liverpool City Council, New South Wales, 2171, Australia",-33.9246314,150.8484792,BP,134.9,157.9
1009,"152 Toongabbie Rd, GIRRAWEEN NSW 2145","Toongabbie Road, Girraween, Sydney, Cumberland City Council, New South Wales, 2145, Australia",-33.803666,150.9361855,BP,136.9,161.9
1014,"90 Joseph St, Cabramatta West NSW 2166","Joseph Street, Cabramatta West, Sydney, Fairfield City Council, New South Wales, 2166, Australia",-33.8908076,150.9228234,BP,127.9,161.9
1039,"712 Pennant Hills Road, Carlingford NSW 2118","712-714, Pennant Hills Road, Carlingford, Sydney, City of Parramatta Council, New South Wales, 2118, Australia",-33.7636689,151.0473233,BP,Not Selling U91    ,162.9
