Number,station,location,latitude,longitude,owner,Price_U91,Price_P98
127,"862 Hume Highway, Bass Hill NSW 2197","Hume Highway, Bass Hill, Sydney, Canterbury-Bankstown Council, New South Wales, 2197, Australia",-33.8990338,150.9964063,Caltex Woolworths,131.9,151.9
132,"28 Sawtell Rd, TOORMINA NSW 2452","Sawtell Road, Bayldon, Toormina, Coffs Harbour City Council, New South Wales, 2452, Australia",-30.3518263,153.0924474,Independent,142.9,Not Selling P98
136,"39 Vernon Street, Woollahra NSW 2025","BP, 39, Vernon Street, Woollahra, Sydney, Woollahra Municipal Council, Eastern Suburbs, New South Wales, 2025, Australia",-33.8898307,151.2474543,BP,Not Selling U91    ,182.9
137,"142 Windsor Rd, MCGRATHS HILL NSW 2756","Windsor Road, McGraths Hill, Sydney, Hawkesbury City Council, New South Wales, 2756, Australia",-33.6089534,150.8276048,7-Eleven,141.9,159.9
138,"588 HIGH ST, PENRITH NSW 2750","High Street, Penrith, Sydney, Penrith City Council, New South Wales, 2750, Australia",-33.7477938,150.6840081,7-Eleven,Not Selling U91    ,154.4
139,"Lot 6 Luxford Road, Mount Druitt NSW 2770","Luxford Road, Mount Druitt, Sydney, Blacktown City Council, New South Wales, 2770, Australia",-33.764482,150.8193494,7-Eleven,138.7,156.7
141,"71 Appin Road, Appin NSW 2560","Appin Road, Gilead, Appin, Campbelltown City Council, New South Wales, 2560, Australia",-34.1607483,150.7896035,Independent,Not Selling U91    ,Not Selling P98
142,"254-256 Shellharbour Rd, Barrack Heights NSW 2528","Shellharbour Road, Barrack Heights, Shellharbour City Council, New South Wales, 2528, Australia",-34.5651943,150.8602918,Enhance,127.5,147.5
143,"120 ROCKY POINT RD, KOGARAH NSW 2217","Rocky Point Road, Kogarah, Sydney, Georges River Council, St George, New South Wales, 2217, Australia",-33.972488,151.1363916,Metro Fuel,Not Selling U91    ,Not Selling P98
144,"96 HOXTON PARK RD, LURNEA NSW 2170","Hoxton Park Road, Lurnea, Sydney, Liverpool City Council, New South Wales, 2170, Australia",-33.927261,150.9052007,Metro Fuel,128.9,Not Selling P98
145,"53 Punchbowl Rd, Belfield NSW 2191","Punchbowl Road, Belfield, Sydney, Strathfield Municipal Council, New South Wales, 2191, Australia",-33.9039169,151.0813507,BP,Not Selling U91    ,155.9
146,"2-14 Henry Lawson Dr, TERRANORA NSW 2486","Henry Lawson Drive, Terranora, Tweed Shire Council, New South Wales, 2486, Australia",-28.2351957,153.4983879,Independent,169.9,191.9
147,"444 West Botany Street, ROCKDALE NSW 2216","West Botany Street, Rockdale, Sydney, St George, New South Wales, 2216, Australia",-33.953042,151.1479924,BP,136.9,Not Selling P98
148,"472 CABRAMATTA RD, MOUNT PRITCHARD NSW 2170","Cabramatta Road, Cabramatta West, Sydney, Fairfield City Council, New South Wales, 2166, Australia",-33.8975835,150.9140913,Metro Fuel,129.5,147.5
